expect_output,HBpoint,dev,fraction,zdiff,filename,depth,temp,top_gradvar,top_bad,fracBothBelow,place
0,1,0.265,0.9912280701754386,-0.161200012207,1640.nc,484.8,15.126,0,0,0.0,0.5498468652387103
0,1,0.18,0.9824561403508771,-0.153,1640.nc,493.0,14.939,0,0,0.0,0.5591470944476283
1,0,0.055,0.9736842105263158,-0.082700012207,1640.nc,563.3,10.368,0.5,0,0.0,0.6388794147602901
0,0,0.015,0.9649122807017544,-0.068200012207,1640.nc,577.8,10.396,1,0,0.0,0.6553249175381615
0,0,-0.005,0.956140350877193,-0.066200012207,1640.nc,579.8,10.409,1,0,0.0,0.6575932627489024
0,0,0.005,0.9473684210526315,-0.0640999755859,1640.nc,581.9,10.406,0.5,0,0.0,0.6599750667548216
0,0,-0.015,0.9385964912280702,-0.062,1640.nc,584.0,10.411,0.5,0,0.0,0.6623568015363387
0,0,0.025,0.9298245614035088,-0.0599000244141,1640.nc,586.1,10.396,0.5,0,0.0,0.6647385363178557
0,0,0.025,0.9210526315789473,-0.0579000244141,1640.nc,588.1,10.418,0.5,0,0.0,0.6670068815285967
0,0,-0.005,0.9122807017543859,-0.055799987793,1640.nc,590.2,10.443,0.5,0,0.0,0.6693886855345159
0,0,0.02,0.9035087719298246,-0.053700012207,1640.nc,592.3,10.442,0.5,0,0.0,0.671770420316033
0,0,0.01,0.8947368421052632,-0.051700012207,1640.nc,594.3,10.46,0.5,0,0.0,0.6740387655267738
0,0,0.01,0.8859649122807017,-0.0495999755859,1640.nc,596.4,10.47,0.5,0,0.0,0.676420569532693
0,0,0.01,0.8771929824561403,-0.0475,1640.nc,598.5,10.476,0,0,0.0,0.6788023043142101
0,0,0.0,0.868421052631579,-0.0455,1640.nc,600.5,10.484,0,0,0.0,0.681070649524951
0,0,0.005,0.8596491228070176,-0.0434000244141,1640.nc,602.6,10.484,0,0,0.0,0.683452384306468
0,0,0.0,0.8508771929824561,-0.041299987793,1640.nc,604.7,10.487,0,0,0.0,0.6858341883123873
0,0,0.005,0.8421052631578947,-0.039299987793,1640.nc,606.7,10.487,0,0,0.0,0.6881025335231282
0,0,0.01,0.8333333333333334,-0.037200012207,1640.nc,608.8,10.488,0,0,0.0,0.6904842683046453
0,0,0.01,0.8245614035087719,-0.0350999755859,1640.nc,610.9,10.496,0,0,0.0,0.6928660723105645
0,0,0.01,0.8157894736842105,-0.0330999755859,1640.nc,612.9,10.503,0,0,0.0,0.6951344175213053
0,0,0.01,0.8070175438596491,-0.031,1640.nc,615.0,10.509,0,0,0.0,0.6975161523028224
0,0,0.005,0.7982456140350878,-0.0289000244141,1640.nc,617.1,10.517,0,0,0.0,0.6998978870843395
0,0,-0.005,0.7894736842105263,-0.0269000244141,1640.nc,619.1,10.52,0,0,0.0,0.7021662322950804
0,0,0.0,0.7807017543859649,-0.024799987793,1640.nc,621.2,10.519,0,0,0.0,0.7045480363009996
0,0,0.005,0.7719298245614035,-0.022700012207,1640.nc,623.3,10.519,0,0,0.0,0.7069297710825166
0,0,-0.025,0.7631578947368421,0.00409997558594,1640.nc,650.1,10.444,1,0,0.0,0.7373255830615641
0,0,-0.01,0.7543859649122807,0.00620001220703,1640.nc,652.2,10.422,1,0,0.0,0.7397073870674833
0,0,-0.005,0.7456140350877193,0.00829998779297,1640.nc,654.3,10.413,0.5,0,0.0,0.7420891218490004
0,0,-0.005,0.7368421052631579,0.010299987793,1640.nc,656.3,10.411,0.5,0,0.0,0.7443574670597413
