bad_points,fraction,fracAbove,num_detected
25,0.1,0
25,0.15,0
25,0.2,0
25,0.25,0
25,0.3,0
25,0.35,0
25,0.4,0
25,0.45,0
25,0.5,0
25,0.55,0
25,0.6,0
25,0.65,0
25,0.7,0
25,0.75,0
25,0.8,0
25,0.85,0
25,0.9,0
25,0.95,0
30,0.1,1
30,0.15,0
30,0.2,0
30,0.25,0
30,0.3,0
30,0.35,0
30,0.4,0
30,0.45,0
30,0.5,0
30,0.55,0
30,0.6,0
30,0.65,0
30,0.7,0
30,0.75,0
30,0.8,0
30,0.85,0
30,0.9,0
30,0.95,0
35,0.1,1
35,0.15,0
35,0.2,0
35,0.25,0
35,0.3,0
35,0.35,0
35,0.4,0
35,0.45,0
35,0.5,0
35,0.55,0
35,0.6,0
35,0.65,0
35,0.7,0
35,0.75,0
35,0.8,0
35,0.85,0
35,0.9,0
35,0.95,0
40,0.1,1
40,0.15,0
40,0.2,0
40,0.25,0
40,0.3,0
40,0.35,0
40,0.4,0
40,0.45,0
40,0.5,0
40,0.55,0
40,0.6,0
40,0.65,0
40,0.7,0
40,0.75,0
40,0.8,0
40,0.85,0
40,0.9,0
40,0.95,0
45,0.1,1
45,0.15,0
45,0.2,0
45,0.25,0
45,0.3,0
45,0.35,0
45,0.4,0
45,0.45,0
45,0.5,0
45,0.55,0
45,0.6,0
45,0.65,0
45,0.7,0
45,0.75,0
45,0.8,0
45,0.85,0
45,0.9,0
45,0.95,0
50,0.1,1
50,0.15,1
50,0.2,0
50,0.25,0
50,0.3,0
50,0.35,0
50,0.4,0
50,0.45,0
50,0.5,0
50,0.55,0
50,0.6,0
50,0.65,0
50,0.7,0
50,0.75,0
50,0.8,0
50,0.85,0
50,0.9,0
50,0.95,0
55,0.1,1
55,0.15,1
55,0.2,0
55,0.25,0
55,0.3,0
55,0.35,0
55,0.4,0
55,0.45,0
55,0.5,0
55,0.55,0
55,0.6,0
55,0.65,0
55,0.7,0
55,0.75,0
55,0.8,0
55,0.85,0
55,0.9,0
55,0.95,0
60,0.1,1
60,0.15,1
60,0.2,0
60,0.25,0
60,0.3,0
60,0.35,0
60,0.4,0
60,0.45,0
60,0.5,0
60,0.55,0
60,0.6,0
60,0.65,0
60,0.7,0
60,0.75,0
60,0.8,0
60,0.85,0
60,0.9,0
60,0.95,0
65,0.1,1
65,0.15,1
65,0.2,0
65,0.25,0
65,0.3,0
65,0.35,0
65,0.4,0
65,0.45,0
65,0.5,0
65,0.55,0
65,0.6,0
65,0.65,0
65,0.7,0
65,0.75,0
65,0.8,0
65,0.85,0
65,0.9,0
65,0.95,0
70,0.1,1
70,0.15,1
70,0.2,1
70,0.25,0
70,0.3,0
70,0.35,0
70,0.4,0
70,0.45,0
70,0.5,0
70,0.55,0
70,0.6,0
70,0.65,0
70,0.7,0
70,0.75,0
70,0.8,0
70,0.85,0
70,0.9,0
70,0.95,0
75,0.1,1
75,0.15,1
75,0.2,1
75,0.25,0
75,0.3,0
75,0.35,0
75,0.4,0
75,0.45,0
75,0.5,0
75,0.55,0
75,0.6,0
75,0.65,0
75,0.7,0
75,0.75,0
75,0.8,0
75,0.85,0
75,0.9,0
75,0.95,0
80,0.1,1
80,0.15,1
80,0.2,1
80,0.25,1
80,0.3,0
80,0.35,0
80,0.4,0
