expected_output,HBpoint,dev,fraction,zdiff,filename
1,0,0.01,0.9981308411214953,0.148149993896,88940260.nc
0,0,0.005,0.9962616822429906,0.148800003052,88940260.nc
0,0,0.005,0.994392523364486,0.149460006714,88940260.nc
0,0,0.01,0.9925233644859813,0.15011000061,88940260.nc
0,0,0.005,0.9906542056074766,0.150770004272,88940260.nc
0,0,0.01,0.9887850467289719,0.151429992676,88940260.nc
0,0,0.005,0.9869158878504672,0.152080001831,88940260.nc
0,0,0.005,0.9850467289719627,0.152740005493,88940260.nc
0,0,0.005,0.983177570093458,0.15338999939,88940260.nc
0,0,0.005,0.9813084112149533,0.154050003052,88940260.nc
0,0,0.005,0.9794392523364486,0.154699996948,88940260.nc
0,0,0.005,0.9775700934579439,0.15536000061,88940260.nc
0,0,0.005,0.9757009345794393,0.156020004272,88940260.nc
0,0,0.005,0.9738317757009346,0.156669998169,88940260.nc
0,0,0.005,0.9719626168224299,0.157330001831,88940260.nc
0,0,0.005,0.9700934579439252,0.157979995728,88940260.nc
0,0,0.005,0.9682242990654205,0.15863999939,88940260.nc
0,0,0.005,0.9663551401869159,0.159289993286,88940260.nc
0,0,0.005,0.9644859813084112,0.159949996948,88940260.nc
0,0,0.005,0.9626168224299065,0.162570007324,88940260.nc
0,0,0.005,0.9607476635514018,0.163220001221,88940260.nc
0,0,0.005,0.9588785046728971,0.164529998779,88940260.nc
0,0,0.005,0.9570093457943926,0.165190002441,88940260.nc
0,0,0.005,0.9551401869158879,0.1665,88940260.nc
0,0,0.005,0.9532710280373832,0.167809997559,88940260.nc
0,0,0.005,0.9514018691588785,0.169119995117,88940260.nc
0,0,0.005,0.9495327102803738,0.169770004272,88940260.nc
0,0,0.005,0.9476635514018692,0.170429992676,88940260.nc
0,0,0.005,0.9457943925233645,0.171080001831,88940260.nc
0,0,0.005,0.9439252336448598,0.17238999939,88940260.nc
0,0,0.005,0.9420560747663551,0.178279998779,88940260.nc
0,0,0.005,0.9401869158878504,0.178929992676,88940260.nc
0,0,0.005,0.9383177570093458,0.180240005493,88940260.nc
0,0,0.0,0.9364485981308411,0.182850006104,88940260.nc
0,0,0.005,0.9345794392523364,0.183509994507,88940260.nc
0,0,0.005,0.9327102803738317,0.184809997559,88940260.nc
0,0,0.005,0.930841121495327,0.18938999939,88940260.nc
0,0,0.005,0.9289719626168225,0.193960006714,88940260.nc
0,0,0.005,0.9271028037383178,0.19461000061,88940260.nc
0,0,0.005,0.9252336448598131,0.195270004272,88940260.nc
0,0,0.005,0.9233644859813084,0.196570007324,88940260.nc
0,0,0.005,0.9214953271028037,0.199830001831,88940260.nc
0,0,0.005,0.9196261682242991,0.20113999939,88940260.nc
0,0,0.005,0.9177570093457944,0.20636000061,88940260.nc
0,0,0.005,0.9158878504672897,0.207009994507,88940260.nc
0,0,0.005,0.914018691588785,0.207660003662,88940260.nc
0,0,0.005,0.9121495327102803,0.208960006714,88940260.nc
0,0,0.005,0.9102803738317757,0.210919998169,88940260.nc
0,0,0.005,0.908411214953271,0.211570007324,88940260.nc
0,0,0.005,0.9065420560747663,0.214829986572,88940260.nc
0,0,0.0,0.9046728971962616,0.216130004883,88940260.nc
0,0,0.005,0.902803738317757,0.216779998779,88940260.nc
0,0,0.005,0.9009345794392524,0.221989990234,88940260.nc
0,0,0.005,0.8990654205607477,0.22525,88940260.nc
0,0,0.005,0.897196261682243,0.227200012207,88940260.nc
0,0,0.005,0.8953271028037383,0.229799987793,88940260.nc
0,0,0.005,0.8934579439252337,0.232399993896,88940260.nc
0,0,0.005,0.891588785046729,0.235,88940260.nc
0,0,0.005,0.8897196261682243,0.236299987793,88940260.nc
0,0,0.005,0.8878504672897196,0.246700012207,88940260.nc
0,0,0.005,0.8859813084112149,0.247350006104,88940260.nc
0,0,0.03,0.8841121495327103,0.287510009766,88940260.nc
0,0,0.015,0.8822429906542056,0.288160003662,88940260.nc
0,0,0.015,0.8803738317757009,0.288799987793,88940260.nc
0,0,0.015,0.8785046728971962,0.289450012207,88940260.nc
0,0,0.015,0.8766355140186916,0.290100006104,88940260.nc
0,0,0.025,0.874766355140187,0.290739990234,88940260.nc
0,0,0.055,0.8728971962616823,0.291390014648,88940260.nc
0,0,0.06,0.8710280373831776,0.292029998779,88940260.nc
0,1,0.24,0.8691588785046729,0.292679992676,88940260.nc
0,1,0.16,0.8672897196261682,0.293329986572,88940260.nc
0,1,0.105,0.8654205607476636,0.293970001221,88940260.nc
0,1,0.085,0.8635514018691589,0.294619995117,88940260.nc
0,1,0.11,0.8616822429906542,0.295260009766,88940260.nc
0,0,0.075,0.8598130841121495,0.295910003662,88940260.nc
0,0,0.03,0.8579439252336448,0.296559997559,88940260.nc
0,0,0.01,0.8560747663551402,0.297200012207,88940260.nc
0,0,0.06,0.8542056074766355,0.297850006104,88940260.nc
0,0,0.025,0.8523364485981308,0.298489990234,88940260.nc
0,0,0.02,0.8504672897196262,0.299140014648,88940260.nc
0,0,0.025,0.8485981308411215,0.299779998779,88940260.nc
0,1,0.285,0.8467289719626169,0.300429992676,88940260.nc
0,0,0.005,0.8411214953271028,0.305589996338,88940260.nc
0,0,0.01,0.8392523364485981,0.306239990234,88940260.nc
0,0,0.035,0.8373831775700935,0.306880004883,88940260.nc
0,0,0.045,0.8355140186915888,0.307529998779,88940260.nc
0,1,0.14,0.8336448598130841,0.308170013428,88940260.nc
0,0,0.015,0.8317757009345794,0.308820007324,88940260.nc
0,0,0.075,0.8299065420560747,0.309459991455,88940260.nc
0,0,0.03,0.8205607476635514,0.321059997559,88940260.nc
0,0,0.01,0.8149532710280374,0.324929992676,88940260.nc
0,0,0.01,0.8130841121495327,0.325570007324,88940260.nc
0,0,0.045,0.811214953271028,0.326220001221,88940260.nc
0,1,0.105,0.8093457943925234,0.326859985352,88940260.nc
0,0,0.0,0.8037383177570093,0.340369995117,88940260.nc
0,0,0.03,0.8018691588785046,0.341010009766,88940260.nc
0,1,0.075,0.8,0.341649993896,88940260.nc
0,1,0.08,0.7962616822429907,0.349359985352,88940260.nc
0,0,0.045,0.794392523364486,0.358339996338,88940260.nc
0,0,0.025,0.7906542056074767,0.362829986572,88940260.nc
0,0,0.005,0.788785046728972,0.367320007324,88940260.nc
0,0,0.015,0.7869158878504673,0.367959991455,88940260.nc
